"WP_NAME,C,50","WARD,C,5","PRECINCT,C,5","DISTRICT,C,10","POP_2010,N,10,0","TOWN,C,35","TOWN_ID,N,5,0","AREA_SQMI,N,19,11","AREA_ACRES,N,19,11","YEAR,N,10,0","SHAPE_AREA,N,19,11","SHAPE_LEN,N,19,11"
Pittsfield City Ward 6 Precinct A,6,A,6-A,3302,PITTSFIELD,236,2.195,1404.71,2012,5684700.75747,16067.1710355
Revere City Ward 3 Precinct 3,3,3,3-3,2933,REVERE,248,0.423,270.74,2012,1095660.96284,8261.7822567
Revere City Ward 4 Precinct 1,4,1,4-1,2932,REVERE,248,0.262,167.97,2012,679772.765594,4041.2588582
Revere City Ward 4 Precinct 2,4,2,4-2,2822,REVERE,248,0.174,111.19,2012,449984.403968,3608.99689712
Revere City Ward 4 Precinct 3,4,3,4-3,2939,REVERE,248,0.205,131.29,2012,531309.652389,3879.35267509
Revere City Ward 5 Precinct 1,5,1,5-1,2749,REVERE,248,0.573,366.64,2012,1483761.30685,15057.0471507
Pittsfield City Ward 1 Precinct A,1,A,1-A,3280,PITTSFIELD,236,1.001,640.44,2012,2591788.13351,7398.56941386
Pittsfield City Ward 7 Precinct A,7,A,7-A,3133,PITTSFIELD,236,1.119,716.02,2012,2897657.84239,9851.23680404
Revere City Ward 6 Precinct 2,6,2,6-2,2986,REVERE,248,0.259,165.45,2012,669551.442552,4254.67402498
Saugus Town Precinct 7,,7,7,2740,SAUGUS,262,1.844,1180.23,2012,4776231.08624,17731.1765654
Pittsfield City Ward 7 Precinct B,7,B,7-B,3129,PITTSFIELD,236,6.56,4198.42,2012,16990480.0479,27385.3216806
Pittsfield City Ward 3 Precinct A,3,A,3-A,3313,PITTSFIELD,236,0.925,591.74,2012,2394680.15377,7743.94165245
Quincy City Ward 1 Precinct 1,1,1,1-1,3006,QUINCY,243,0.53,339.15,2012,1372513.30259,10352.9180061
Saugus Town Precinct 2,,2,2,2588,SAUGUS,262,0.432,276.36,2012,1118403.99526,5887.32977088
Milford Town Precinct 1,,1,1,3540,MILFORD,185,0.777,497.3,2012,2012495.00362,7364.12747282
Milford Town Precinct 3,,3,3,3338,MILFORD,185,3.172,2030.11,2012,8215594.65503,13486.2693306
Milton Town Precinct 8,,8,8,2779,MILTON,189,1.15,736.1,2012,2978900.57647,10031.6598094
Saugus Town Precinct 3,,3,3,2597,SAUGUS,262,0.475,303.94,2012,1230003.61341,10900.1101871
Saugus Town Precinct 4,,4,4,2632,SAUGUS,262,1.291,826.19,2012,3343498.87638,8657.06347405
Saugus Town Precinct 5,,5,5,2747,SAUGUS,262,1.22,780.81,2012,3159848.63969,10555.5109718
Saugus Town Precinct 6,,6,6,2679,SAUGUS,262,0.411,263.32,2012,1065612.65542,4788.18793469
Saugus Town Precinct 8,,8,8,2604,SAUGUS,262,0.536,343.19,2012,1388843.87583,6656.29763902
Billerica Town Precinct 8,,8,8,3718,BILLERICA,31,2.732,1748.49,2012,7075935.5647,13679.8217278
Billerica Town Precinct 9,,9,9,3680,BILLERICA,31,2.074,1327.07,2012,5370502.44184,12374.4570569
Billerica Town Precinct 10,,10,10,3585,BILLERICA,31,1.915,1225.59,2012,4959819.16615,11610.0510205
Scituate Town Precinct 1,,1,1,3119,SCITUATE,264,4.67,2988.84,2012,12095462.3576,16966.7558216
Scituate Town Precinct 5,,5,5,2961,SCITUATE,264,1.543,987.43,2012,3996002.86953,10721.5389649
